TrialRep,Model,AC,TransGen,Extinctions
20,ModelB,Auto,BothTrans,1226
20,ModelB,Auto,NoTrans,2044
20,ModelA,NoAuto,WaspTrans,2374
20,ModelA,NoAuto,FlyTrans,1506
20,ModelA,Auto,WaspTrans,2045
20,ModelA,Auto,FlyTrans,1522
20,ModelB,NoAuto,WaspTrans,2374
20,ModelB,NoAuto,FlyTrans,1496
20,ModelB,Auto,WaspTrans,2044
20,ModelB,Auto,FlyTrans,1226
21,ModelA,NoAuto,BothTrans,1450
21,ModelA,NoAuto,NoTrans,2252
21,ModelA,Auto,BothTrans,1450
21,ModelA,Auto,NoTrans,2199
21,ModelB,NoAuto,BothTrans,1450
21,ModelB,NoAuto,NoTrans,2252
21,ModelB,Auto,BothTrans,1450
21,ModelB,Auto,NoTrans,2198
21,ModelA,NoAuto,WaspTrans,2252
21,ModelA,NoAuto,FlyTrans,1450
21,ModelA,Auto,WaspTrans,2199
21,ModelA,Auto,FlyTrans,1450
21,ModelB,NoAuto,WaspTrans,2252
21,ModelB,NoAuto,FlyTrans,1450
21,ModelB,Auto,WaspTrans,2198
21,ModelB,Auto,FlyTrans,1450
22,ModelA,NoAuto,BothTrans,201
22,ModelA,NoAuto,NoTrans,2294
22,ModelA,Auto,BothTrans,201
22,ModelA,Auto,NoTrans,2268
22,ModelB,NoAuto,BothTrans,1493
22,ModelB,NoAuto,NoTrans,2294
22,ModelB,Auto,BothTrans,1456
22,ModelB,Auto,NoTrans,2267
22,ModelA,NoAuto,WaspTrans,2294
22,ModelA,NoAuto,FlyTrans,1523
22,ModelA,Auto,WaspTrans,2268
22,ModelA,Auto,FlyTrans,1457
22,ModelB,NoAuto,WaspTrans,2294
22,ModelB,NoAuto,FlyTrans,1493
22,ModelB,Auto,WaspTrans,2266
22,ModelB,Auto,FlyTrans,1456
23,ModelA,NoAuto,BothTrans,1460
23,ModelA,NoAuto,NoTrans,2279
23,ModelA,Auto,BothTrans,1470
23,ModelA,Auto,NoTrans,1739
23,ModelB,NoAuto,BothTrans,1458
23,ModelB,NoAuto,NoTrans,2169
23,ModelB,Auto,BothTrans,1470
23,ModelB,Auto,NoTrans,1735
23,ModelA,NoAuto,WaspTrans,2279
23,ModelA,NoAuto,FlyTrans,1460
23,ModelA,Auto,WaspTrans,1739
23,ModelA,Auto,FlyTrans,1470
23,ModelB,NoAuto,WaspTrans,2169
23,ModelB,NoAuto,FlyTrans,1458
23,ModelB,Auto,WaspTrans,1734
23,ModelB,Auto,FlyTrans,1470
24,ModelA,NoAuto,BothTrans,1417
24,ModelA,NoAuto,NoTrans,2321
24,ModelA,Auto,BothTrans,1349
24,ModelA,Auto,NoTrans,2142
24,ModelB,NoAuto,BothTrans,1415
24,ModelB,NoAuto,NoTrans,2321
24,ModelB,Auto,BothTrans,1326
24,ModelB,Auto,NoTrans,2132
24,ModelA,NoAuto,WaspTrans,2321
24,ModelA,NoAuto,FlyTrans,1417
24,ModelA,Auto,WaspTrans,2142
24,ModelA,Auto,FlyTrans,1349
24,ModelB,NoAuto,WaspTrans,2321
24,ModelB,NoAuto,FlyTrans,1415
24,ModelB,Auto,WaspTrans,2132
24,ModelB,Auto,FlyTrans,1326
25,ModelA,NoAuto,BothTrans,1602
25,ModelA,NoAuto,NoTrans,2343
25,ModelA,Auto,BothTrans,280
25,ModelA,Auto,NoTrans,2222
25,ModelB,NoAuto,BothTrans,1602
25,ModelB,NoAuto,NoTrans,2343
25,ModelB,Auto,BothTrans,1654
25,ModelB,Auto,NoTrans,2202
25,ModelA,NoAuto,WaspTrans,2343
25,ModelA,NoAuto,FlyTrans,1602
25,ModelA,Auto,WaspTrans,2222
25,ModelA,Auto,FlyTrans,1654
25,ModelB,NoAuto,WaspTrans,2343
25,ModelB,NoAuto,FlyTrans,1602
25,ModelB,Auto,WaspTrans,2202
25,ModelB,Auto,FlyTrans,1654
26,ModelA,NoAuto,BothTrans,1529
26,ModelA,NoAuto,NoTrans,2276
26,ModelA,Auto,BothTrans,1302
26,ModelA,Auto,NoTrans,2112
26,ModelB,NoAuto,BothTrans,1304
26,ModelB,NoAuto,NoTrans,2271
26,ModelB,Auto,BothTrans,1302
26,ModelB,Auto,NoTrans,2110
26,ModelA,NoAuto,WaspTrans,2276
26,ModelA,NoAuto,FlyTrans,1529
26,ModelA,Auto,WaspTrans,2112
26,ModelA,Auto,FlyTrans,1302
26,ModelB,NoAuto,WaspTrans,2271
26,ModelB,NoAuto,FlyTrans,1304
26,ModelB,Auto,WaspTrans,2110
26,ModelB,Auto,FlyTrans,1302
27,ModelA,NoAuto,BothTrans,1581
27,ModelA,NoAuto,NoTrans,2138
27,ModelA,Auto,BothTrans,779
